
----- Run Fri Aug 12 10:37:53 2022-----
 4.25      147217      148130      138661      139872      134501      136183
 4.31       71580       72352       66169       67335       63565       65404
 4.38       26870       27912       27865       25321       22681       24772
 4.44        7595        7066        6379        6305        5822        6819
 4.50         469        1152         294        1627         226        2260
 4.56           7         575          28        1050          46        2086
 4.62        2658        2223        3352        2799        3741        4155
 4.69       16942       13227       19217       14994       20426       16963
 4.75       52053       46434       56704       51542       59126       56990
 4.81      115736      110923      123397      118494      127342      124666
 4.88      213764      209352      224857      220429      230529      228102
 4.94      349527      345033      364240      359708      371724      369047
 5.00      523806      518901      517789      537256      551326      548445
 5.06      706472      730140      727603      751819      738276      765617
 5.12      945876      973506      969794      997172      981838     1010768
 5.19     1211766     1241783     1237770     1234220     1250829     1283568
 5.25     1495912     1491557     1523153     1518528     1536801     1534788
 5.31     1788816     1783683     1816364     1811378     1830131     1827162
 5.38     2080375     2075663     2107278     2102405     2120690     2117494
 5.44     2326504     2355851     2352093     2347043     2364820     2362031
 5.50     2589168     2586061     2612493     2608152     2624062     2620347
 5.56     2824334     2819575     2844734     2840156     2854822     2851546
 5.62     3025896     3021476     3042914     3038944     3051299     3049071
 5.69     3190080     3185484     3203491     3198951     3210069     3207210
 5.75     3315693     3311094     3325524     3320707     3330317     3327437
 5.81     3404220     3399507     3410743     3405832     3413896     3410713
 5.88     3459708     3454438     3463427     3458256     3465200     3461589
 5.94     3488497     3483561     3487924     3484980     3490853     3487251
 6.00     3498185     3493806     3498638     3493732     3498835     3495381
 6.06     3499999     3495253     3500000     3495325     3500000     3496892
 6.12     3499163     3495179     3498829     3495179     3498633     3496324
 6.19     3490336     3489549     3488749     3487790     3487895     3488725
 6.25     3463966     3464454     3460282     3461359     3458352     3461104
 6.31     3411697     3412681     3405218     3406382     3401869     3404121
 6.38     3326972     3327656     3317189     3318445     3312176     3314226
 6.44     3205474     3206083     3192114     3193036     3185306     3187132
 6.50     3045440     3046571     3028471     3030073     3019863     3021980
 6.56     2847769     2848808     2827414     2828538     2817124     2818605
 6.62     2615971     2616154     2623678     2594007     2580947     2582683
 6.69     2389717     2356987     2364398     2331397     2351669     2319816
 6.75     2111305     2076423     2084418     2049735     2070936     2037715
 6.81     1820496     1785102     1792950     1757425     1779171     1744380
 6.88     1527248     1527784     1499994     1501755     1486396     1488069
 6.94     1241684     1242451     1215658     1217429     1202704     1205565
 7.00      973402      974247      949450      950846      937561      939586
 7.06      730799      731596      709624      711051      699146      701393
 7.12      520493      520915      502609      503858      493790      495573
 7.19      346869      347633      332559      333799      325532      327345
 7.25      211768      212666      201069      202384      195844      197624
 7.31      114365      115235      107064      108506      103526      105568
 7.38       51228       52055       46876       48090       44791       46837
 7.44       16546       17549       14489       15882       13527       15892
 7.50        2543        3532        1968        3193        1717        3981
 7.56           6         895           1        1050           1        2251
 7.62         272         740         432        1142         535        2507
 7.69        6207        5693        7360        6653        8008        8320
 7.75       27413       22438       30401       25522       32026       28673
 7.81       72599       75209       78138       72928       81105       77901
 7.88      148819      144230      157447      153174      162028      159822
 7.94      260972      256584      273015      268384      279370      276662
 8.00      411473      406584      427020      421992      435184      431669
 8.06      600080      595420      618977      614408      628864      625532
 8.12      823913      819596      845773      841212      857175      854011
 8.19     1077653     1072685     1101885     1097962     1114490     1113298
 8.25     1353908     1350145     1379756     1375779     1393168     1391490
 8.31     1643728     1638581     1670327     1665287     1684094     1681227
 8.38     1937225     1932392     1927185     1959647     1940872     1974278
 8.44     2189069     2219419     2214603     2244623     2227759     2258943
 8.50     2462455     2490406     2486176     2481571     2498367     2527897
 8.56     2712090     2737626     2733280     2757657     2744138     2769935
 8.62     2930870     2951402     2948983     2944608     2958234     2955723
 8.69     3113823     3109431     3128527     3123887     3136007     3132860
 8.75     3258462     3253828     3269661     3264915     3275330     3271983
 8.81     3364948     3360368     3372790     3368552     3376733     3373872
 8.88     3436092     3430955     3440955     3435752     3443375     3439928
 8.94     3473424     3471843     3476156     3474698     3477495     3477080
 9.00     3494105     3490519     3495095     3490198     3495562     3491975
 9.06     3499765     3494905     3499868     3494941     3499907     3496553
 9.12     3499956     3495546     3499902     3495389     3499861     3496873
 9.19     3496313     3493440     3495487     3492890     3495016     3494136
 9.25     3479738     3480357     3480625     3477775     3475929     3478343
 9.31     3447494     3442070     3442977     3444230     3440546     3442363
 9.38     3383511     3384309     3376082     3377396     3372126     3374458
 9.44     3285142     3285826     3274391     3275681     3268708     3270656
 9.50     3149016     3149998     3134767     3136338     3127272     3129967
 9.56     2998277     2975343     2981011     2958268     2971961     2949525
 9.62     2791428     2763618     2770978     2743650     2760296     2732994
 9.69     2551743     2521370     2528604     2497748     2516551     2486708
 9.75     2285640     2252040     2260492     2262192     2247427     2213789
 9.81     2001367     1966322     1975028     1976658     1961378     1963365
 9.88     1708429     1709388     1681800     1683607     1668033     1670396
 9.94     1416930     1417225     1390932     1392414     1377525     1379396

----- Run Fri Aug 12 12:40:05 2022-----
                motor 12                motor 13                motor 14                
 t         demand      actual      demand      actual      demand      actual      
0.0000     3500000     3499162     3499999     3499318     3500000     3500489
0.0625     3498577     3497953     3497988     3497679     3497861     3498649
